Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,14.340000,14.340000,14.340000,14.340000,4.661145,0
1980-01-03,14.270000,14.270000,14.270000,14.270000,4.638392,0
1980-01-04,14.450000,14.450000,14.450000,14.450000,4.696903,0
1980-01-07,14.490000,14.490000,14.490000,14.490000,4.709903,0
1980-01-08,14.780000,14.780000,14.780000,14.780000,4.804167,0
1980-01-09,14.800000,14.800000,14.800000,14.800000,4.810671,0
1980-01-10,14.910000,14.910000,14.910000,14.910000,4.846423,0
1980-01-11,14.910000,14.910000,14.910000,14.910000,4.846423,0
1980-01-14,14.980000,14.980000,14.980000,14.980000,4.869173,0
1980-01-15,15.080000,15.080000,15.080000,15.080000,4.901682,0
1980-01-16,15.070000,15.070000,15.070000,15.070000,4.898427,0
1980-01-17,15.020000,15.020000,15.020000,15.020000,4.882175,0
1980-01-18,15.070000,15.070000,15.070000,15.070000,4.898427,0
1980-01-21,15.210000,15.210000,15.210000,15.210000,4.943934,0
1980-01-22,15.140000,15.140000,15.140000,15.140000,4.921183,0
1980-01-23,15.400000,15.400000,15.400000,15.400000,5.005694,0
1980-01-24,15.430000,15.430000,15.430000,15.430000,5.015450,0
1980-01-25,15.420000,15.420000,15.420000,15.420000,5.012197,0
1980-01-28,15.600000,15.600000,15.600000,15.600000,5.070704,0
1980-01-29,15.490000,15.490000,15.490000,15.490000,5.034949,0
1980-01-30,15.650000,15.650000,15.650000,15.650000,5.086956,0
1980-01-31,15.510000,15.510000,15.510000,15.510000,5.041451,0
1980-02-01,15.650000,15.650000,15.650000,15.650000,5.086956,0
1980-02-04,15.570000,15.570000,15.570000,15.570000,5.060953,0
1980-02-05,15.620000,15.620000,15.620000,15.620000,5.077205,0
1980-02-06,15.770000,15.770000,15.770000,15.770000,5.125964,0
1980-02-07,15.850000,15.850000,15.850000,15.850000,5.151964,0
1980-02-08,16.090000,16.090000,16.090000,16.090000,5.229974,0
1980-02-11,15.980000,15.980000,15.980000,15.980000,5.194219,0
